sdz2021_code,statistic,value
N21000001,Multiple Deprivation Measure (Rank),666
N21000001,Income Domain (Rank),675
N21000001,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,166
N21000001,Employment Domain (18-64 years) (Rank),647
N21000001,Proportion of the working age population who are employment deprived,194
N21000001,Health Deprivation and Disability Domain (Rank),646
N21000001,"Education, Skills and Training Domain (Rank)",648
N21000001,Access to Services Domain (Rank),234
N21000002,Multiple Deprivation Measure (Rank),754
N21000002,Income Domain (Rank),653
N21000002,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,189
N21000002,Employment Domain (18-64 years) (Rank),812
N21000002,Proportion of the working age population who are employment deprived,37
N21000002,Health Deprivation and Disability Domain (Rank),825
N21000002,"Education, Skills and Training Domain (Rank)",779
N21000002,Access to Services Domain (Rank),144
N21000003,Multiple Deprivation Measure (Rank),628
N21000003,Income Domain (Rank),563
N21000003,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,288
N21000003,Employment Domain (18-64 years) (Rank),678
N21000003,Proportion of the working age population who are employment deprived,224
N21000003,Health Deprivation and Disability Domain (Rank),706
N21000003,"Education, Skills and Training Domain (Rank)",762
N21000003,Access to Services Domain (Rank),72
N21000004,Multiple Deprivation Measure (Rank),644
N21000004,Income Domain (Rank),754
N21000004,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,100
N21000004,Employment Domain (18-64 years) (Rank),507
N21000004,Proportion of the working age population who are employment deprived,334
N21000004,Health Deprivation and Disability Domain (Rank),479
N21000004,"Education, Skills and Training Domain (Rank)",488
N21000004,Access to Services Domain (Rank),312
N21000005,Multiple Deprivation Measure (Rank),645
N21000005,Income Domain (Rank),755
N21000005,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,101
N21000005,Employment Domain (18-64 years) (Rank),508
N21000005,Proportion of the working age population who are employment deprived,335
N21000005,Health Deprivation and Disability Domain (Rank),480
N21000005,"Education, Skills and Training Domain (Rank)",489
N21000005,Access to Services Domain (Rank),313
N21000006,Multiple Deprivation Measure (Rank),624
N21000006,Income Domain (Rank),689
N21000006,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,171
N21000006,Employment Domain (18-64 years) (Rank),534
N21000006,Proportion of the working age population who are employment deprived,315
N21000006,Health Deprivation and Disability Domain (Rank),508
N21000006,"Education, Skills and Training Domain (Rank)",511
N21000006,Access to Services Domain (Rank),314
N21000007,Multiple Deprivation Measure (Rank),665
N21000007,Income Domain (Rank),774
N21000007,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,74
N21000007,Employment Domain (18-64 years) (Rank),653
N21000007,Proportion of the working age population who are employment deprived,209
N21000007,Health Deprivation and Disability Domain (Rank),475
N21000007,"Education, Skills and Training Domain (Rank)",422
N21000007,Access to Services Domain (Rank),414
N21000008,Multiple Deprivation Measure (Rank),292
N21000008,Income Domain (Rank),486
N21000008,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,354
N21000008,Employment Domain (18-64 years) (Rank),295
N21000008,Proportion of the working age population who are employment deprived,568
N21000008,Health Deprivation and Disability Domain (Rank),191
N21000008,"Education, Skills and Training Domain (Rank)",122
N21000008,Access to Services Domain (Rank),468
N21000009,Multiple Deprivation Measure (Rank),655
N21000009,Income Domain (Rank),795
N21000009,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,54
N21000009,Employment Domain (18-64 years) (Rank),628
N21000009,Proportion of the working age population who are employment deprived,226
N21000009,Health Deprivation and Disability Domain (Rank),421
N21000009,"Education, Skills and Training Domain (Rank)",401
N21000009,Access to Services Domain (Rank),493
N21000010,Multiple Deprivation Measure (Rank),392
N21000010,Income Domain (Rank),617
N21000010,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,211
N21000010,Employment Domain (18-64 years) (Rank),331
N21000010,Proportion of the working age population who are employment deprived,544
N21000010,Health Deprivation and Disability Domain (Rank),218
N21000010,"Education, Skills and Training Domain (Rank)",161
N21000010,Access to Services Domain (Rank),540
N21000011,Multiple Deprivation Measure (Rank),194
N21000011,Income Domain (Rank),376
N21000011,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,437
N21000011,Employment Domain (18-64 years) (Rank),182
N21000011,Proportion of the working age population who are employment deprived,666
N21000011,Health Deprivation and Disability Domain (Rank),138
N21000011,"Education, Skills and Training Domain (Rank)",92
N21000011,Access to Services Domain (Rank),533
N21000012,Multiple Deprivation Measure (Rank),225
N21000012,Income Domain (Rank),407
N21000012,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,445
N21000012,Employment Domain (18-64 years) (Rank),197
N21000012,Proportion of the working age population who are employment deprived,670
N21000012,Health Deprivation and Disability Domain (Rank),160
N21000012,"Education, Skills and Training Domain (Rank)",169
N21000012,Access to Services Domain (Rank),287
N21000013,Multiple Deprivation Measure (Rank),500
N21000013,Income Domain (Rank),686
N21000013,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,144
N21000013,Employment Domain (18-64 years) (Rank),385
N21000013,Proportion of the working age population who are employment deprived,465
N21000013,Health Deprivation and Disability Domain (Rank),295
N21000013,"Education, Skills and Training Domain (Rank)",315
N21000013,Access to Services Domain (Rank),552
N21000014,Multiple Deprivation Measure (Rank),297
N21000014,Income Domain (Rank),466
N21000014,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,346
N21000014,Employment Domain (18-64 years) (Rank),268
N21000014,Proportion of the working age population who are employment deprived,595
N21000014,Health Deprivation and Disability Domain (Rank),240
N21000014,"Education, Skills and Training Domain (Rank)",151
N21000014,Access to Services Domain (Rank),505
N21000015,Multiple Deprivation Measure (Rank),589
N21000015,Income Domain (Rank),664
N21000015,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,206
N21000015,Employment Domain (18-64 years) (Rank),492
N21000015,Proportion of the working age population who are employment deprived,409
N21000015,Health Deprivation and Disability Domain (Rank),440
N21000015,"Education, Skills and Training Domain (Rank)",403
N21000015,Access to Services Domain (Rank),306
N21000016,Multiple Deprivation Measure (Rank),240
N21000016,Income Domain (Rank),435
N21000016,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,446
N21000016,Employment Domain (18-64 years) (Rank),233
N21000016,Proportion of the working age population who are employment deprived,629
N21000016,Health Deprivation and Disability Domain (Rank),174
N21000016,"Education, Skills and Training Domain (Rank)",184
N21000016,Access to Services Domain (Rank),262
N21000017,Multiple Deprivation Measure (Rank),597
N21000017,Income Domain (Rank),695
N21000017,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,156
N21000017,Employment Domain (18-64 years) (Rank),495
N21000017,Proportion of the working age population who are employment deprived,370
N21000017,Health Deprivation and Disability Domain (Rank),401
N21000017,"Education, Skills and Training Domain (Rank)",433
N21000017,Access to Services Domain (Rank),399
N21000018,Multiple Deprivation Measure (Rank),605
N21000018,Income Domain (Rank),776
N21000018,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,71
N21000018,Employment Domain (18-64 years) (Rank),473
N21000018,Proportion of the working age population who are employment deprived,344
N21000018,Health Deprivation and Disability Domain (Rank),365
N21000018,"Education, Skills and Training Domain (Rank)",399
N21000018,Access to Services Domain (Rank),457
N21000019,Multiple Deprivation Measure (Rank),654
N21000019,Income Domain (Rank),551
N21000019,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,306
N21000019,Employment Domain (18-64 years) (Rank),695
N21000019,Proportion of the working age population who are employment deprived,189
N21000019,Health Deprivation and Disability Domain (Rank),687
N21000019,"Education, Skills and Training Domain (Rank)",587
N21000019,Access to Services Domain (Rank),319
N21000020,Multiple Deprivation Measure (Rank),428
N21000020,Income Domain (Rank),529
N21000020,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,326
N21000020,Employment Domain (18-64 years) (Rank),383
N21000020,Proportion of the working age population who are employment deprived,497
N21000020,Health Deprivation and Disability Domain (Rank),375
N21000020,"Education, Skills and Training Domain (Rank)",207
N21000020,Access to Services Domain (Rank),572
N21000021,Multiple Deprivation Measure (Rank),471
N21000021,Income Domain (Rank),637
N21000021,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,212
N21000021,Employment Domain (18-64 years) (Rank),400
N21000021,Proportion of the working age population who are employment deprived,476
N21000021,Health Deprivation and Disability Domain (Rank),391
N21000021,"Education, Skills and Training Domain (Rank)",168
N21000021,Access to Services Domain (Rank),550
N21000022,Multiple Deprivation Measure (Rank),459
N21000022,Income Domain (Rank),624
N21000022,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,244
N21000022,Employment Domain (18-64 years) (Rank),370
N21000022,Proportion of the working age population who are employment deprived,480
N21000022,Health Deprivation and Disability Domain (Rank),393
N21000022,"Education, Skills and Training Domain (Rank)",147
N21000022,Access to Services Domain (Rank),541
N21000023,Multiple Deprivation Measure (Rank),613
N21000023,Income Domain (Rank),716
N21000023,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,122
N21000023,Employment Domain (18-64 years) (Rank),536
N21000023,Proportion of the working age population who are employment deprived,367
N21000023,Health Deprivation and Disability Domain (Rank),526
N21000023,"Education, Skills and Training Domain (Rank)",298
N21000023,Access to Services Domain (Rank),496
N21000024,Multiple Deprivation Measure (Rank),598
N21000024,Income Domain (Rank),643
N21000024,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,234
N21000024,Employment Domain (18-64 years) (Rank),582
N21000024,Proportion of the working age population who are employment deprived,303
N21000024,Health Deprivation and Disability Domain (Rank),636
N21000024,"Education, Skills and Training Domain (Rank)",379
N21000024,Access to Services Domain (Rank),373
N21000025,Multiple Deprivation Measure (Rank),764
N21000025,Income Domain (Rank),762
N21000025,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,83
N21000025,Employment Domain (18-64 years) (Rank),756
N21000025,Proportion of the working age population who are employment deprived,101
N21000025,Health Deprivation and Disability Domain (Rank),781
N21000025,"Education, Skills and Training Domain (Rank)",689
N21000025,Access to Services Domain (Rank),272
N21000026,Multiple Deprivation Measure (Rank),734
N21000026,Income Domain (Rank),797
N21000026,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,55
N21000026,Employment Domain (18-64 years) (Rank),699
N21000026,Proportion of the working age population who are employment deprived,180
N21000026,Health Deprivation and Disability Domain (Rank),731
N21000026,"Education, Skills and Training Domain (Rank)",568
N21000026,Access to Services Domain (Rank),290
N21000027,Multiple Deprivation Measure (Rank),465
N21000027,Income Domain (Rank),633
N21000027,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,182
N21000027,Employment Domain (18-64 years) (Rank),369
N21000027,Proportion of the working age population who are employment deprived,491
N21000027,Health Deprivation and Disability Domain (Rank),315
N21000027,"Education, Skills and Training Domain (Rank)",206
N21000027,Access to Services Domain (Rank),444
N21000028,Multiple Deprivation Measure (Rank),569
N21000028,Income Domain (Rank),671
N21000028,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,172
N21000028,Employment Domain (18-64 years) (Rank),455
N21000028,Proportion of the working age population who are employment deprived,411
N21000028,Health Deprivation and Disability Domain (Rank),353
N21000028,"Education, Skills and Training Domain (Rank)",292
N21000028,Access to Services Domain (Rank),553
N21000029,Multiple Deprivation Measure (Rank),648
N21000029,Income Domain (Rank),603
N21000029,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,276
N21000029,Employment Domain (18-64 years) (Rank),613
N21000029,Proportion of the working age population who are employment deprived,322
N21000029,Health Deprivation and Disability Domain (Rank),591
N21000029,"Education, Skills and Training Domain (Rank)",556
N21000029,Access to Services Domain (Rank),509
N21000030,Multiple Deprivation Measure (Rank),707
N21000030,Income Domain (Rank),787
N21000030,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,63
N21000030,Employment Domain (18-64 years) (Rank),600
N21000030,Proportion of the working age population who are employment deprived,227
N21000030,Health Deprivation and Disability Domain (Rank),461
N21000030,"Education, Skills and Training Domain (Rank)",408
N21000030,Access to Services Domain (Rank),502
N21000031,Multiple Deprivation Measure (Rank),725
N21000031,Income Domain (Rank),694
N21000031,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,167
N21000031,Employment Domain (18-64 years) (Rank),722
N21000031,Proportion of the working age population who are employment deprived,161
N21000031,Health Deprivation and Disability Domain (Rank),734
N21000031,"Education, Skills and Training Domain (Rank)",694
N21000031,Access to Services Domain (Rank),390
N21000032,Multiple Deprivation Measure (Rank),583
N21000032,Income Domain (Rank),725
N21000032,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,104
N21000032,Employment Domain (18-64 years) (Rank),474
N21000032,Proportion of the working age population who are employment deprived,380
N21000032,Health Deprivation and Disability Domain (Rank),368
N21000032,"Education, Skills and Training Domain (Rank)",244
N21000032,Access to Services Domain (Rank),406
N21000033,Multiple Deprivation Measure (Rank),751
N21000033,Income Domain (Rank),706
N21000033,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,137
N21000033,Employment Domain (18-64 years) (Rank),758
N21000033,Proportion of the working age population who are employment deprived,120
N21000033,Health Deprivation and Disability Domain (Rank),760
N21000033,"Education, Skills and Training Domain (Rank)",712
N21000033,Access to Services Domain (Rank),367
N21000034,Multiple Deprivation Measure (Rank),697
N21000034,Income Domain (Rank),780
N21000034,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,56
N21000034,Employment Domain (18-64 years) (Rank),619
N21000034,Proportion of the working age population who are employment deprived,217
N21000034,Health Deprivation and Disability Domain (Rank),483
N21000034,"Education, Skills and Training Domain (Rank)",356
N21000034,Access to Services Domain (Rank),500
N21000035,Multiple Deprivation Measure (Rank),503
N21000035,Income Domain (Rank),569
N21000035,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,317
N21000035,Employment Domain (18-64 years) (Rank),462
N21000035,Proportion of the working age population who are employment deprived,460
N21000035,Health Deprivation and Disability Domain (Rank),410
N21000035,"Education, Skills and Training Domain (Rank)",316
N21000035,Access to Services Domain (Rank),463
N21000036,Multiple Deprivation Measure (Rank),455
N21000036,Income Domain (Rank),483
N21000036,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,416
N21000036,Employment Domain (18-64 years) (Rank),404
N21000036,Proportion of the working age population who are employment deprived,506
N21000036,Health Deprivation and Disability Domain (Rank),360
N21000036,"Education, Skills and Training Domain (Rank)",269
N21000036,Access to Services Domain (Rank),530
N21000037,Multiple Deprivation Measure (Rank),686
N21000037,Income Domain (Rank),792
N21000037,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,57
N21000037,Employment Domain (18-64 years) (Rank),621
N21000037,Proportion of the working age population who are employment deprived,236
N21000037,Health Deprivation and Disability Domain (Rank),492
N21000037,"Education, Skills and Training Domain (Rank)",363
N21000037,Access to Services Domain (Rank),443
N21000038,Multiple Deprivation Measure (Rank),608
N21000038,Income Domain (Rank),540
N21000038,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,289
N21000038,Employment Domain (18-64 years) (Rank),547
N21000038,Proportion of the working age population who are employment deprived,345
N21000038,Health Deprivation and Disability Domain (Rank),515
N21000038,"Education, Skills and Training Domain (Rank)",389
N21000038,Access to Services Domain (Rank),551
N21000039,Multiple Deprivation Measure (Rank),485
N21000039,Income Domain (Rank),542
N21000039,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,290
N21000039,Employment Domain (18-64 years) (Rank),412
N21000039,Proportion of the working age population who are employment deprived,401
N21000039,Health Deprivation and Disability Domain (Rank),325
N21000039,"Education, Skills and Training Domain (Rank)",193
N21000039,Access to Services Domain (Rank),676
N21000040,Multiple Deprivation Measure (Rank),146
N21000040,Income Domain (Rank),332
N21000040,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,496
N21000040,Employment Domain (18-64 years) (Rank),134
N21000040,Proportion of the working age population who are employment deprived,699
N21000040,Health Deprivation and Disability Domain (Rank),136
N21000040,"Education, Skills and Training Domain (Rank)",44
N21000040,Access to Services Domain (Rank),734
N21000041,Multiple Deprivation Measure (Rank),441
N21000041,Income Domain (Rank),530
N21000041,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,291
N21000041,Employment Domain (18-64 years) (Rank),344
N21000041,Proportion of the working age population who are employment deprived,461
N21000041,Health Deprivation and Disability Domain (Rank),300
N21000041,"Education, Skills and Training Domain (Rank)",186
N21000041,Access to Services Domain (Rank),689
N21000042,Multiple Deprivation Measure (Rank),84
N21000042,Income Domain (Rank),177
N21000042,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,685
N21000042,Employment Domain (18-64 years) (Rank),83
N21000042,Proportion of the working age population who are employment deprived,750
N21000042,Health Deprivation and Disability Domain (Rank),92
N21000042,"Education, Skills and Training Domain (Rank)",39
N21000042,Access to Services Domain (Rank),732
N21000043,Multiple Deprivation Measure (Rank),61
N21000043,Income Domain (Rank),51
N21000043,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,773
N21000043,Employment Domain (18-64 years) (Rank),61
N21000043,Proportion of the working age population who are employment deprived,783
N21000043,Health Deprivation and Disability Domain (Rank),76
N21000043,"Education, Skills and Training Domain (Rank)",35
N21000043,Access to Services Domain (Rank),698
N21000044,Multiple Deprivation Measure (Rank),185
N21000044,Income Domain (Rank),273
N21000044,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,668
N21000044,Employment Domain (18-64 years) (Rank),157
N21000044,Proportion of the working age population who are employment deprived,717
N21000044,Health Deprivation and Disability Domain (Rank),175
N21000044,"Education, Skills and Training Domain (Rank)",146
N21000044,Access to Services Domain (Rank),744
N21000045,Multiple Deprivation Measure (Rank),62
N21000045,Income Domain (Rank),56
N21000045,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,760
N21000045,Employment Domain (18-64 years) (Rank),64
N21000045,Proportion of the working age population who are employment deprived,781
N21000045,Health Deprivation and Disability Domain (Rank),80
N21000045,"Education, Skills and Training Domain (Rank)",29
N21000045,Access to Services Domain (Rank),660
N21000046,Multiple Deprivation Measure (Rank),148
N21000046,Income Domain (Rank),213
N21000046,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,710
N21000046,Employment Domain (18-64 years) (Rank),137
N21000046,Proportion of the working age population who are employment deprived,739
N21000046,Health Deprivation and Disability Domain (Rank),116
N21000046,"Education, Skills and Training Domain (Rank)",111
N21000046,Access to Services Domain (Rank),703
N21000047,Multiple Deprivation Measure (Rank),235
N21000047,Income Domain (Rank),233
N21000047,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,592
N21000047,Employment Domain (18-64 years) (Rank),234
N21000047,Proportion of the working age population who are employment deprived,603
N21000047,Health Deprivation and Disability Domain (Rank),193
N21000047,"Education, Skills and Training Domain (Rank)",159
N21000047,Access to Services Domain (Rank),679
N21000048,Multiple Deprivation Measure (Rank),646
N21000048,Income Domain (Rank),781
N21000048,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,52
N21000048,Employment Domain (18-64 years) (Rank),516
N21000048,Proportion of the working age population who are employment deprived,374
N21000048,Health Deprivation and Disability Domain (Rank),473
N21000048,"Education, Skills and Training Domain (Rank)",378
N21000048,Access to Services Domain (Rank),521
N21000049,Multiple Deprivation Measure (Rank),770
N21000049,Income Domain (Rank),826
N21000049,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,16
N21000049,Employment Domain (18-64 years) (Rank),665
N21000049,Proportion of the working age population who are employment deprived,165
N21000049,Health Deprivation and Disability Domain (Rank),649
N21000049,"Education, Skills and Training Domain (Rank)",582
N21000049,Access to Services Domain (Rank),600
N21000050,Multiple Deprivation Measure (Rank),672
N21000050,Income Domain (Rank),783
N21000050,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,67
N21000050,Employment Domain (18-64 years) (Rank),596
N21000050,Proportion of the working age population who are employment deprived,290
N21000050,Health Deprivation and Disability Domain (Rank),592
N21000050,"Education, Skills and Training Domain (Rank)",397
N21000050,Access to Services Domain (Rank),482
N21000051,Multiple Deprivation Measure (Rank),641
N21000051,Income Domain (Rank),737
N21000051,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,105
N21000051,Employment Domain (18-64 years) (Rank),529
N21000051,Proportion of the working age population who are employment deprived,324
N21000051,Health Deprivation and Disability Domain (Rank),453
N21000051,"Education, Skills and Training Domain (Rank)",335
N21000051,Access to Services Domain (Rank),632
N21000052,Multiple Deprivation Measure (Rank),664
N21000052,Income Domain (Rank),775
N21000052,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,75
N21000052,Employment Domain (18-64 years) (Rank),578
N21000052,Proportion of the working age population who are employment deprived,284
N21000052,Health Deprivation and Disability Domain (Rank),485
N21000052,"Education, Skills and Training Domain (Rank)",337
N21000052,Access to Services Domain (Rank),631
N21000053,Multiple Deprivation Measure (Rank),682
N21000053,Income Domain (Rank),736
N21000053,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,128
N21000053,Employment Domain (18-64 years) (Rank),627
N21000053,Proportion of the working age population who are employment deprived,249
N21000053,Health Deprivation and Disability Domain (Rank),469
N21000053,"Education, Skills and Training Domain (Rank)",445
N21000053,Access to Services Domain (Rank),618
N21000054,Multiple Deprivation Measure (Rank),667
N21000054,Income Domain (Rank),685
N21000054,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,148
N21000054,Employment Domain (18-64 years) (Rank),644
N21000054,Proportion of the working age population who are employment deprived,199
N21000054,Health Deprivation and Disability Domain (Rank),513
N21000054,"Education, Skills and Training Domain (Rank)",395
N21000054,Access to Services Domain (Rank),691
N21000055,Multiple Deprivation Measure (Rank),538
N21000055,Income Domain (Rank),632
N21000055,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,183
N21000055,Employment Domain (18-64 years) (Rank),465
N21000055,Proportion of the working age population who are employment deprived,376
N21000055,Health Deprivation and Disability Domain (Rank),323
N21000055,"Education, Skills and Training Domain (Rank)",303
N21000055,Access to Services Domain (Rank),766
N21000056,Multiple Deprivation Measure (Rank),769
N21000056,Income Domain (Rank),809
N21000056,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,48
N21000056,Employment Domain (18-64 years) (Rank),721
N21000056,Proportion of the working age population who are employment deprived,119
N21000056,Health Deprivation and Disability Domain (Rank),604
N21000056,"Education, Skills and Training Domain (Rank)",660
N21000056,Access to Services Domain (Rank),586
N21000057,Multiple Deprivation Measure (Rank),704
N21000057,Income Domain (Rank),756
N21000057,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,95
N21000057,Employment Domain (18-64 years) (Rank),655
N21000057,Proportion of the working age population who are employment deprived,166
N21000057,Health Deprivation and Disability Domain (Rank),527
N21000057,"Education, Skills and Training Domain (Rank)",524
N21000057,Access to Services Domain (Rank),670
N21000058,Multiple Deprivation Measure (Rank),715
N21000058,Income Domain (Rank),726
N21000058,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,106
N21000058,Employment Domain (18-64 years) (Rank),713
N21000058,Proportion of the working age population who are employment deprived,127
N21000058,Health Deprivation and Disability Domain (Rank),560
N21000058,"Education, Skills and Training Domain (Rank)",557
N21000058,Access to Services Domain (Rank),609
N21000059,Multiple Deprivation Measure (Rank),776
N21000059,Income Domain (Rank),681
N21000059,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,158
N21000059,Employment Domain (18-64 years) (Rank),810
N21000059,Proportion of the working age population who are employment deprived,46
N21000059,Health Deprivation and Disability Domain (Rank),832
N21000059,"Education, Skills and Training Domain (Rank)",824
N21000059,Access to Services Domain (Rank),131
N21000060,Multiple Deprivation Measure (Rank),328
N21000060,Income Domain (Rank),469
N21000060,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,412
N21000060,Employment Domain (18-64 years) (Rank),315
N21000060,Proportion of the working age population who are employment deprived,556
N21000060,Health Deprivation and Disability Domain (Rank),271
N21000060,"Education, Skills and Training Domain (Rank)",309
N21000060,Access to Services Domain (Rank),228
N21000061,Multiple Deprivation Measure (Rank),758
N21000061,Income Domain (Rank),763
N21000061,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,96
N21000061,Employment Domain (18-64 years) (Rank),782
N21000061,Proportion of the working age population who are employment deprived,72
N21000061,Health Deprivation and Disability Domain (Rank),813
N21000061,"Education, Skills and Training Domain (Rank)",782
N21000061,Access to Services Domain (Rank),153
N21000062,Multiple Deprivation Measure (Rank),803
N21000062,Income Domain (Rank),814
N21000062,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,44
N21000062,Employment Domain (18-64 years) (Rank),811
N21000062,Proportion of the working age population who are employment deprived,47
N21000062,Health Deprivation and Disability Domain (Rank),763
N21000062,"Education, Skills and Training Domain (Rank)",692
