"code","name","namew","type","parent","parent_type"
"N21000274","BT100AA","","postcode","N21000274","sdz"
"N21000275","BT100AB","","postcode","N21000275","sdz"
"N21000275","BT100AD","","postcode","N21000275","sdz"
"N21000275","BT100AE","","postcode","N21000275","sdz"
"N21000274","BT100AF","","postcode","N21000274","sdz"
"N21000275","BT100AG","","postcode","N21000275","sdz"
"N21000275","BT100AH","","postcode","N21000275","sdz"
"N21000276","BT100AJ","","postcode","N21000276","sdz"
"N21000275","BT100AL","","postcode","N21000275","sdz"
"N21000275","BT100AN","","postcode","N21000275","sdz"
"N21000275","BT100AP","","postcode","N21000275","sdz"
"N21000281","BT100AQ","","postcode","N21000281","sdz"
"N21000276","BT100AR","","postcode","N21000276","sdz"
"N21000275","BT100AS","","postcode","N21000275","sdz"
"N21000279","BT100AT","","postcode","N21000279","sdz"
"N21000279","BT100AU","","postcode","N21000279","sdz"
"N21000293","BT100AW","","postcode","N21000293","sdz"
"N21000283","BT100AX","","postcode","N21000283","sdz"
"N21000283","BT100AY","","postcode","N21000283","sdz"
"N21000283","BT100AZ","","postcode","N21000283","sdz"
"N21000276","BT100BA","","postcode","N21000276","sdz"
"N21000276","BT100BB","","postcode","N21000276","sdz"
"N21000276","BT100BD","","postcode","N21000276","sdz"
"N21000279","BT100BE","","postcode","N21000279","sdz"
"N21000293","BT100BF","","postcode","N21000293","sdz"
"N21000280","BT100BG","","postcode","N21000280","sdz"
"N21000276","BT100BH","","postcode","N21000276","sdz"
"N21000280","BT100BJ","","postcode","N21000280","sdz"
"N21000276","BT100BL","","postcode","N21000276","sdz"
"N21000280","BT100BN","","postcode","N21000280","sdz"
"N21000280","BT100BP","","postcode","N21000280","sdz"
"N21000280","BT100BQ","","postcode","N21000280","sdz"
"N21000280","BT100BS","","postcode","N21000280","sdz"
"N21000280","BT100BT","","postcode","N21000280","sdz"
"N21000280","BT100BU","","postcode","N21000280","sdz"
"N21000279","BT100BW","","postcode","N21000279","sdz"
"N21000280","BT100BX","","postcode","N21000280","sdz"
"N21000284","BT100BY","","postcode","N21000284","sdz"
"N21000284","BT100BZ","","postcode","N21000284","sdz"
"N21000283","BT100DA","","postcode","N21000283","sdz"
"N21000281","BT100DD","","postcode","N21000281","sdz"
"N21000279","BT100DE","","postcode","N21000279","sdz"
"N21000284","BT100DF","","postcode","N21000284","sdz"
"N21000279","BT100DG","","postcode","N21000279","sdz"
"N21000281","BT100DH","","postcode","N21000281","sdz"
"N21000279","BT100DJ","","postcode","N21000279","sdz"
"N21000279","BT100DL","","postcode","N21000279","sdz"
"N21000279","BT100DN","","postcode","N21000279","sdz"
"N21000279","BT100DP","","postcode","N21000279","sdz"
"N21000279","BT100DQ","","postcode","N21000279","sdz"
"N21000279","BT100DR","","postcode","N21000279","sdz"
"N21000279","BT100DS","","postcode","N21000279","sdz"
"N21000279","BT100DT","","postcode","N21000279","sdz"
"N21000284","BT100DU","","postcode","N21000284","sdz"
"N21000276","BT100DW","","postcode","N21000276","sdz"
"N21000284","BT100DX","","postcode","N21000284","sdz"
"N21000283","BT100DY","","postcode","N21000283","sdz"
"N21000283","BT100DZ","","postcode","N21000283","sdz"
"N21000275","BT100EA","","postcode","N21000275","sdz"
"N21000279","BT100EB","","postcode","N21000279","sdz"
"N21000279","BT100ED","","postcode","N21000279","sdz"
"N21000279","BT100EE","","postcode","N21000279","sdz"
"N21000279","BT100EF","","postcode","N21000279","sdz"
"N21000279","BT100EG","","postcode","N21000279","sdz"
"N21000279","BT100EH","","postcode","N21000279","sdz"
"N21000279","BT100EJ","","postcode","N21000279","sdz"
"N21000279","BT100EL","","postcode","N21000279","sdz"
"N21000279","BT100EN","","postcode","N21000279","sdz"
"N21000279","BT100EP","","postcode","N21000279","sdz"
"N21000279","BT100EQ","","postcode","N21000279","sdz"
"N21000279","BT100ER","","postcode","N21000279","sdz"
"N21000279","BT100ES","","postcode","N21000279","sdz"
"N21000281","BT100ET","","postcode","N21000281","sdz"
"N21000281","BT100EU","","postcode","N21000281","sdz"
"N21000281","BT100EW","","postcode","N21000281","sdz"
"N21000281","BT100EX","","postcode","N21000281","sdz"
"N21000281","BT100EY","","postcode","N21000281","sdz"
"N21000279","BT100EZ","","postcode","N21000279","sdz"
"N21000274","BT100FA","","postcode","N21000274","sdz"
"N21000281","BT100FB","","postcode","N21000281","sdz"
"N21000281","BT100FD","","postcode","N21000281","sdz"
