"","code","name","namew","type","parent","parent_type"
"1","000000000","0000000",NA,"postcode","000000000","sdz"
"2","N21000274","BT100AA",NA,"postcode","N21000274","sdz"
"3","N21000275","BT100AB",NA,"postcode","N21000275","sdz"
"4","N21000275","BT100AD",NA,"postcode","N21000275","sdz"
"5","N21000275","BT100AE",NA,"postcode","N21000275","sdz"
"6","N21000274","BT100AF",NA,"postcode","N21000274","sdz"
"7","N21000275","BT100AG",NA,"postcode","N21000275","sdz"
"8","N21000275","BT100AH",NA,"postcode","N21000275","sdz"
"9","N21000276","BT100AJ",NA,"postcode","N21000276","sdz"
"10","N21000275","BT100AL",NA,"postcode","N21000275","sdz"
"11","N21000275","BT100AN",NA,"postcode","N21000275","sdz"
"12","N21000275","BT100AP",NA,"postcode","N21000275","sdz"
"13","N21000281","BT100AQ",NA,"postcode","N21000281","sdz"
"14","N21000276","BT100AR",NA,"postcode","N21000276","sdz"
"15","N21000275","BT100AS",NA,"postcode","N21000275","sdz"
"16","N21000279","BT100AT",NA,"postcode","N21000279","sdz"
"17","N21000279","BT100AU",NA,"postcode","N21000279","sdz"
"18","N21000293","BT100AW",NA,"postcode","N21000293","sdz"
"19","N21000283","BT100AX",NA,"postcode","N21000283","sdz"
"20","N21000283","BT100AY",NA,"postcode","N21000283","sdz"
"21","N21000283","BT100AZ",NA,"postcode","N21000283","sdz"
"22","N21000276","BT100BA",NA,"postcode","N21000276","sdz"
"23","N21000276","BT100BB",NA,"postcode","N21000276","sdz"
"24","N21000276","BT100BD",NA,"postcode","N21000276","sdz"
"25","N21000279","BT100BE",NA,"postcode","N21000279","sdz"
"26","N21000293","BT100BF",NA,"postcode","N21000293","sdz"
"27","N21000280","BT100BG",NA,"postcode","N21000280","sdz"
"28","N21000276","BT100BH",NA,"postcode","N21000276","sdz"
"29","N21000280","BT100BJ",NA,"postcode","N21000280","sdz"
"30","N21000276","BT100BL",NA,"postcode","N21000276","sdz"
"31","N21000280","BT100BN",NA,"postcode","N21000280","sdz"
"32","N21000280","BT100BP",NA,"postcode","N21000280","sdz"
"33","N21000280","BT100BQ",NA,"postcode","N21000280","sdz"
"34","N21000280","BT100BS",NA,"postcode","N21000280","sdz"
"35","N21000280","BT100BT",NA,"postcode","N21000280","sdz"
"36","N21000280","BT100BU",NA,"postcode","N21000280","sdz"
"37","N21000279","BT100BW",NA,"postcode","N21000279","sdz"
"38","N21000280","BT100BX",NA,"postcode","N21000280","sdz"
"39","N21000284","BT100BY",NA,"postcode","N21000284","sdz"
"40","N21000284","BT100BZ",NA,"postcode","N21000284","sdz"
"41","N21000283","BT100DA",NA,"postcode","N21000283","sdz"
"42","000000000","BT100DB",NA,"postcode","000000000","sdz"
"43","N21000281","BT100DD",NA,"postcode","N21000281","sdz"
"44","N21000279","BT100DE",NA,"postcode","N21000279","sdz"
"45","N21000284","BT100DF",NA,"postcode","N21000284","sdz"
"46","N21000279","BT100DG",NA,"postcode","N21000279","sdz"
"47","N21000281","BT100DH",NA,"postcode","N21000281","sdz"
"48","N21000279","BT100DJ",NA,"postcode","N21000279","sdz"
"49","N21000279","BT100DL",NA,"postcode","N21000279","sdz"
"50","N21000279","BT100DN",NA,"postcode","N21000279","sdz"
"51","N21000279","BT100DP",NA,"postcode","N21000279","sdz"
"52","N21000279","BT100DQ",NA,"postcode","N21000279","sdz"
"53","N21000279","BT100DR",NA,"postcode","N21000279","sdz"
"54","N21000279","BT100DS",NA,"postcode","N21000279","sdz"
"55","N21000279","BT100DT",NA,"postcode","N21000279","sdz"
"56","N21000284","BT100DU",NA,"postcode","N21000284","sdz"
"57","N21000276","BT100DW",NA,"postcode","N21000276","sdz"
"58","N21000284","BT100DX",NA,"postcode","N21000284","sdz"
"59","N21000283","BT100DY",NA,"postcode","N21000283","sdz"
"60","N21000283","BT100DZ",NA,"postcode","N21000283","sdz"
"61","N21000275","BT100EA",NA,"postcode","N21000275","sdz"
"62","N21000279","BT100EB",NA,"postcode","N21000279","sdz"
"63","N21000279","BT100ED",NA,"postcode","N21000279","sdz"
"64","N21000279","BT100EE",NA,"postcode","N21000279","sdz"
"65","N21000279","BT100EF",NA,"postcode","N21000279","sdz"
"66","N21000279","BT100EG",NA,"postcode","N21000279","sdz"
"67","N21000279","BT100EH",NA,"postcode","N21000279","sdz"
"68","N21000279","BT100EJ",NA,"postcode","N21000279","sdz"
"69","N21000279","BT100EL",NA,"postcode","N21000279","sdz"
"70","N21000279","BT100EN",NA,"postcode","N21000279","sdz"
"71","N21000279","BT100EP",NA,"postcode","N21000279","sdz"
"72","N21000279","BT100EQ",NA,"postcode","N21000279","sdz"
"73","N21000279","BT100ER",NA,"postcode","N21000279","sdz"
"74","N21000279","BT100ES",NA,"postcode","N21000279","sdz"
"75","N21000281","BT100ET",NA,"postcode","N21000281","sdz"
"76","N21000281","BT100EU",NA,"postcode","N21000281","sdz"
"77","N21000281","BT100EW",NA,"postcode","N21000281","sdz"
"78","N21000281","BT100EX",NA,"postcode","N21000281","sdz"
"79","N21000281","BT100EY",NA,"postcode","N21000281","sdz"
"80","N21000279","BT100EZ",NA,"postcode","N21000279","sdz"
"81","N21000274","BT100FA",NA,"postcode","N21000274","sdz"
"82","N21000281","BT100FB",NA,"postcode","N21000281","sdz"
"83","N21000281","BT100FD",NA,"postcode","N21000281","sdz"
"84","N21000281","BT100FE",NA,"postcode","N21000281","sdz"
"85","N21000276","BT100FF",NA,"postcode","N21000276","sdz"
"86","000000000","BT100FG",NA,"postcode","000000000","sdz"
"87","N21000279","BT100FH",NA,"postcode","N21000279","sdz"
"88","000000000","BT100FJ",NA,"postcode","000000000","sdz"
"89","N21000274","BT100FL",NA,"postcode","N21000274","sdz"
"90","N21000284","BT100FN",NA,"postcode","N21000284","sdz"
"91","N21000284","BT100FP",NA,"postcode","N21000284","sdz"
"92","N21000284","BT100FQ",NA,"postcode","N21000284","sdz"
"93","N21000284","BT100FR",NA,"postcode","N21000284","sdz"
"94","N21000284","BT100FS",NA,"postcode","N21000284","sdz"
"95","N21000284","BT100FT",NA,"postcode","N21000284","sdz"
"96","N21000276","BT100FU",NA,"postcode","N21000276","sdz"
"97","N21000284","BT100FW",NA,"postcode","N21000284","sdz"
"98","N21000284","BT100FX",NA,"postcode","N21000284","sdz"
"99","N21000284","BT100FY",NA,"postcode","N21000284","sdz"
"100","N21000284","BT100FZ",NA,"postcode","N21000284","sdz"
"101","N21000284","BT100GA",NA,"postcode","N21000284","sdz"
"102","N21000284","BT100GB",NA,"postcode","N21000284","sdz"
"103","N21000284","BT100GD",NA,"postcode","N21000284","sdz"
"104","N21000284","BT100GE",NA,"postcode","N21000284","sdz"
"105","N21000284","BT100GF",NA,"postcode","N21000284","sdz"
"106","N21000284","BT100GG",NA,"postcode","N21000284","sdz"
"107","N21000284","BT100GH",NA,"postcode","N21000284","sdz"
"108","N21000284","BT100GJ",NA,"postcode","N21000284","sdz"
"109","N21000284","BT100GL",NA,"postcode","N21000284","sdz"
"110","N21000284","BT100GN",NA,"postcode","N21000284","sdz"
"111","N21000284","BT100GP",NA,"postcode","N21000284","sdz"
"112","N21000293","BT100GR",NA,"postcode","N21000293","sdz"
"113","N21000293","BT100GS",NA,"postcode","N21000293","sdz"
"114","N21000274","BT100GW",NA,"postcode","N21000274","sdz"
"115","N21000274","BT100GX",NA,"postcode","N21000274","sdz"
"116","N21000274","BT100GY",NA,"postcode","N21000274","sdz"
